id	term	variants	translation	stem	forms	note	category	status	short_of
powered_suit_trooper	Powered Suit Trooper	Powered Suit Troopers				Елітна піхота Федерації в силовій броні з важким озброєнням, у розділі типів юнітів.	Юніти Федерації	new	
tiger	Tiger	Tiger Bugs|Tiger Bug|Tigers				Бойовий арахнід, у розділі типів юнітів.	Арахніди	new	
tanker	Tanker	Tanker Bugs|Tanker Bug|Tankers|Tanker's				Важкий бойовий арахнід, у розділі типів юнітів.	Арахніди	new	
scorpion_bug	Scorpion Bug	Scorpion Bugs				Арахнід касти скорпіонів, у розділі типів юнітів.	Арахніди	new	
plasma_bug	Plasma Bug	Plasma Bugs				Великий артилерійський арахнід, стріляє плазмою.	Арахніди	new	
plasma_grenadier	Plasma Grenadier	Plasma Grenadiers				Арахнід дальнього бою, метає плазмові снаряди.	Арахніди	new	
war_support	War Support					Ігровий ресурс для розгортання та підтримки військ, назва якого відображається в розділі налаштувань.	Механіки	new	
attack_move	Attack Move					Команда руху юніта з автоматичною атакою ворогів на шляху, доступність якої налаштовується в редакторі.	Механіки	new	
patrol_loop	Patrol Loop					Циклічний маршрут патрулювання юніта, доступність якого налаштовується в редакторі.	Механіки	new	
capture_point	Capture Point	Capture Points				Контрольовані точки на карті, які юніти можуть захоплювати; тут згадані в налаштуванні поведінки редактора.	Механіки	new	
line_of_sight	Line of Sight	Line-of-Sight				Механіка видимості, на яку для Pegasus Gunship не впливає слабке освітлення у Metropolis DLC.	Механіки	new	
los	LOS					Скорочення назви механіки видимості, яку союзні гравці можуть спільно використовувати в налаштуваннях редактора.	Механіки	new	line_of_sight
federal_archives	Federal Archives					Власна назва внутрішньоігрового архіву Федерації, доступного з редакторського меню.	Загальне	new	
supply_point	Supply Point	Supply Points				Ігровий ресурс, що визначає обсяг постачання, використаний розміщеними підрозділами.	Механіки	new	
supply_cap	Supply Cap					Граничне значення ресурсу постачання, доступного для розміщення підрозділів.	Механіки	new	
dropship	Dropship	dropships|Dropship's				Транспортний літальний апарат для доставки підкріплень у розділі редактора.	Зброя і техніка	new	
air_blockade	Air Blockade					Air Blockade — стан обмеження повітряних операцій, про запровадження якого повідомляє редактор.	Механіки	new	
plasma	Plasma	Plasmas				Plasma — виявлений запуск плазмового боєприпасу, про який гравця попереджає редактор.	Зброя і техніка	new	
elite_status	Elite Status					Elite Status — рівень розвитку юніта, про досягнення якого повідомляє редактор.	Механіки	new	
supply	Supply	Supplies				Supply — ігровий ресурс, зміна кількості якого відображається в повідомленні редактора.	Механіки	new	
hold_fire	Hold Fire					Команда режиму вогню юніта в редакторі, що забороняє автоматично атакувати цілі.	Здібності	new	
fire_at_will	Fire At Will					Команда режиму вогню юніта в редакторі, що дозволяє автоматично атакувати ворогів поблизу.	Здібності	new	
delivery_platform	Delivery Platform	Delivery platforms				Ігрові платформи доставки, доступну й загальну кількість яких показує інтерфейс редактора.	Механіки	new	
battle_tier	Battle Tier					Рівень бойового прогресу, наступний щабель якого розблоковується під час гри.	Механіки	new	
overseer	Overseer	Overseer's				Клас арахнідського юніта, зазначений у розділі UNIT CLASSES.	Арахніди	new	
infantry	Infantry					Клас піхотних юнітів у розділі класифікації підрозділів.	Механіки	new	
vehicle	Vehicle					Клас наземних бойових машин у розділі класифікації підрозділів.	Механіки	new	
aircraft	Aircraft					Клас повітряних бойових юнітів у розділі класифікації підрозділів.	Механіки	new	
structure	Structure	structures				Клас стаціонарних споруд у розділі класифікації підрозділів.	Механіки	new	
ground_transport	Ground Transport					Клас наземного транспорту для перевезення юнітів у розділі класифікації підрозділів.	Механіки	new	
air_transport	Air Transport					Клас повітряного транспорту для перевезення юнітів у розділі класифікації підрозділів.	Механіки	new	
naval_transport	Naval Transport					Клас водного транспорту для перевезення юнітів у розділі класифікації підрозділів.	Механіки	new	
horde	Horde					Клас численної групи наземних юнітів у розділі класифікації підрозділів.	Механіки	new	
swarm	Swarm	swarms				Клас рою юнітів у розділі класифікації підрозділів.	Механіки	new	
behemoth	Behemoth					Клас особливо великого й потужного юніта в розділі класифікації підрозділів.	Механіки	new	
fed_net_tv	FED NET TV					Внутрішньоігровий телевізійний канал Федерації, згаданий під час ініціалізації гри.	Загальне	new	
aggressive	Aggressive					Бойова стійка юніта в розділі керування класами юнітів.	Механіки	new	
defend_position	Defend Position					Бойова стійка юніта для захисту визначеної позиції в розділі керування класами юнітів.	Механіки	new	
hold_position	Hold Position					Бойова стійка юніта для утримання поточної позиції в розділі керування класами юнітів.	Механіки	new	
research_points	Research Points					Ігровий ресурс для дослідження технологій, згаданий у назві ефекту тригера.	Механіки	new	
cp	CP					Скорочення назви контрольної точки, стан якої перевіряє умова тригера.	Механіки	new	capture_point
hive_status	Hive Status					Стан вулика Арахнідів, який перевіряє умова тригера.	Механіки	new	
offensive_strength	Offensive Strength					Показник наступальної сили, який перевіряє умова тригера.	Механіки	new	
hatchery	Hatchery					Споруда Арахнідів, чисельність населення якої перевіряє умова тригера.	Арахніди	new	
advanced_move	Advanced Move					Назва наказу юніту в системі тригерів сценарію.	Здібності	new	
halt	Halt					Назва наказу юніту на припинення руху в системі тригерів сценарію.	Здібності	new	
transport	Transport					Назва наказу юніту на транспортування в переліку ефектів тригерів.	Механіки	new	
reinforcing	Reinforcing	reinforcements|Reinforcement				Ігрова функція поповнення підрозділів, яку активує цей ефект тригера.	Механіки	new	
deployment	Deployment					Ігрова функція розгортання підрозділів, яку активує цей ефект тригера.	Механіки	new	
transportation	Transportation					Ігрова функція транспортування підрозділів, яку активує цей ефект тригера.	Механіки	new	
elite_ability	Elite Ability	Elite abilities|Elite special ability				Особлива здібність елітного рівня, яку розблоковує цей ефект тригера.	Здібності	new	
shroud	Shroud					Механіка прихованої області карти, яку розкриває цей ефект тригера.	Механіки	new	
mutation	Mutation					Механіка мутацій, яку вимикає цей ефект тригера.	Механіки	new	
victory_point	Victory Point						Механіки	new	
vp	VP					Скорочена назва переможної точки, захоплення якої активує подію тригера.	Механіки	new	victory_point
game_tick	Game Tick					Тригер сценарної системи, що спрацьовує під час чергового циклу оновлення гри.	Механіки	new	
bug_hive	Bug Hive	Bug Hives				Споруда Арахнідів у розділі типів юнітів.	Арахніди	new	
scientist	Scientist	Scientists				Тип цивільного наукового персоналу Федерації у розділі типів юнітів.	Юніти Федерації	new	
psi_ops	Psi Ops					Спеціалізований псіонічний підрозділ Федерації у розділі типів юнітів.	Юніти Федерації	new	
elite_guard	Elite Guard					Елітний бойовий підрозділ Федерації у розділі типів юнітів.	Юніти Федерації	new	
cargo_truck	Cargo Truck					Транспортний вантажний автомобіль у розділі типів юнітів.	Зброя і техніка	new	
chariot_bug	Chariot Bug	Chariots bugs|Chariot Bugs				Тип бойового Арахніда у розділі типів юнітів.	Арахніди	new	
proximity_mine	Proximity Mine	Proximity Mines				Вибуховий засіб, що спрацьовує при наближенні цілі, у розділі типів юнітів.	Зброя і техніка	new	
barricade	Barricade					Оборонна споруда у розділі типів юнітів.	Зброя і техніка	new	
rocket_trooper	Rocket Trooper	Rocket Troopers				Підрозділ ракетників Федерації у розділі типів юнітів.	Юніти Федерації	new	
m55_rocket_launcher	M55 Rocket Launcher					Штатна ракетна пускова установка підрозділу Rocket Trooper у розділі типів юнітів.	Зброя і техніка	new	
mk_ii_trooper	Mk II Trooper	Mk II Troopers|Mk.II Trooper|Mk.II Troopers|Mk.II Troopers'				Підрозділ Федерації, озброєний гвинтівками Morita Mk II, у розділі типів юнітів.	Юніти Федерації	new	
morita_mk_ii_rifle	Morita Mk II rifle					Гвинтівка підрозділу Mk II Trooper для вогневої підтримки на середній і великій дистанції.	Зброя і техніка	new	
marker_flare	Marker Flare					Сигнальний засіб Федерації, наведений як окремий тип об'єкта в розділі типів юнітів.	Зброя і техніка	new	
drop_site	Drop Site	drop sites|dropsite				Позначена зона висадки, наведена в розділі типів юнітів.	Локації	new	
gk_16_mlas	GK-16 MLAS					Позначення військової системи GK-16 у розділі типів юнітів; MLAS є скороченням, повне розшифрування не встановлено.	Зброя і техніка	new	
satellite_station	Satellite Station	Satellite Stations				Супутникова станція або споруда, наведена як окремий об'єкт у розділі типів юнітів.	Локації	new	
gk_22_heavy_gecko	GK-22 Heavy Gecko					Бойова машина Федерації, зазначена як окремий тип юніта в розділі UNIT TYPES.	Юніти Федерації	new	
squad_automatic_weapon	Squad Automatic Weapon	squad automatic weapons				Повна назва ручної автоматичної зброї загону, призначеної для ураження броньованих цілей.	Зброя і техніка	new	
saw	SAW					Скорочена назва озброєння, яким оснащено цей варіант Powered Suit Trooper у розділі UNIT TYPES.	Зброя і техніка	new	squad_automatic_weapon
sensor_array	Sensor Array					Сенсорна установка Федерації, представлена як окремий тип юніта або споруди в розділі UNIT TYPES.	Юніти Федерації	new	
sniper	Sniper	Snipers				Далекобійний піхотний юніт Федерації з високою точністю в розділі UNIT TYPES.	Юніти Федерації	new	
spitter	Spitter	Spitters|Spitter Bugs|Spitter Bug				Тип арахніда, наведений в описі Sniper як вразлива ціль.	Арахніди	new	
dr_4_viking	DR-4 Viking					Бойова машина Федерації, зазначена як окремий тип юніта в розділі UNIT TYPES.	Юніти Федерації	new	
combat_engineer	Combat Engineer	Combat Engineers				Інженерний піхотний юніт Федерації, представлений у розділі UNIT TYPES.	Юніти Федерації	new	
bombardier	Bombardier	Bombardiers|Bombardier Bugs				Артилерійський тип Arachnid у розділі типів юнітів.	Арахніди	new	
brain_bug	Brain Bug	Brain|Brain bug’s|Brain's|Brain Bugs|Brain Bug's				Спеціалізований тип Arachnid у розділі типів юнітів.	Арахніди	new	
m11_marauder_flamethrower	M11 Marauder (Flamethrower)					Варіант бойової машини Federation із вогнеметним озброєнням у розділі типів юнітів.	Юніти Федерації	new	
m11_marauder_howitzer	M11 Marauder (Howitzer)					Варіант бойової машини Federation із гаубичним озброєнням у розділі типів юнітів.	Юніти Федерації	new	
m11_marauder_gatling_gun	M11 Marauder (Gatling Gun)					Варіант бойової машини Federation із роторною гарматою у розділі типів юнітів.	Юніти Федерації	new	
m11_marauder	M11 Marauder	M11 Babar 'Marauder'|M11 Marauder's				Повне позначення двоногої бойової машини Federation, описаної в розділі типів юнітів.	Юніти Федерації	new	
m2a_5_2_flamethrower	M2A 5-2 Flamethrower					Вогнемет ближньої дії, яким оснащено відповідний варіант M11 Marauder.	Зброя і техніка	new	
morita_cross_heavy_machine_gun	Morita Cross Heavy Machine Gun					Важкий кулемет, установлений на M11 Marauder як додаткове озброєння.	Зброя і техніка	new	
m779_ultralight_weight_howitzer	M779 Ultralight-weight Howitzer					Легка далекобійна гаубиця відповідного варіанта M11 Marauder.	Зброя і техніка	new	
m648_vulcan_rotary_cannon	M648 Vulcan Rotary Cannon					Роторна гармата M11 Marauder, призначена для придушення різних типів ворогів.	Зброя і техніка	new	
royal_guard	Royal Guard	Royal Guards|Royal Guard Bug|Royal Guard Bugs				Елітний тип Arachnid у розділі типів юнітів.	Арахніди	new	
capture_site	Capture Site					Ігровий об'єкт або контрольна точка, яку можна захопити.	Механіки	new	
wavebreaker	Wavebreaker	Wavebreakers|Wavebreaker Mortars				Окремий зруйнований тип споруди в розділі типів юнітів.	Зброя і техніка	new	
collapsed_hive	Collapsed Hive					Зруйнований тип вулика Арахнідів у розділі типів юнітів.	Арахніди	new	
god_bug	God Bug					Особливий тип істоти Арахнідів у розділі типів юнітів.	Арахніди	new	
militia	Militia					Тип піхотного підрозділу Федерації в розділі типів юнітів.	Юніти Федерації	new	
civilian	Civilian	Civilians				Цивільні персонажі як тип юніта в розділі типів юнітів.	Юніти Федерації	new	
demolition_charge	Demolition Charge					Вибуховий заряд як окремий тип об'єкта в розділі типів юнітів.	Зброя і техніка	new	
bug_tunnel	Bug Tunnel					Тунель Арахнідів як окремий тип споруди в розділі типів юнітів.	Арахніди	new	
brood_nest	Brood Nest	Brood Nests				Гніздо Арахнідів як окремий тип споруди в розділі типів юнітів.	Арахніди	new	
colonist	Colonist	Colonists				Цивільний юніт Федерації, зазначений у розділі типів юнітів.	Юніти Федерації	new	
camera_crew	Camera Crew					Знімальна група як окремий юніт у розділі типів юнітів.	Юніти Федерації	new	
m11_honor_guard	M11 Honor Guard					Елітний бойовий юніт Федерації у розділі типів юнітів.	Юніти Федерації	new	
rocket_launcher_turret	Rocket Launcher Turret	Rocket Launcher Turrets				Стаціонарна ракетна турель, призначена для ураження важкоброньованих цілей.	Зброя і техніка	new	
grenade_launcher_turret	Grenade Launcher Turret					Стаціонарна гранатометна турель для ураження щільних груп легких і середньоброньованих цілей.	Зброя і техніка	new	
drop_pod	Drop Pod					Десантна капсула Федерації, зазначена як окремий тип юніта.	Зброя і техніка	new	
tac_bomber	TAC Bomber	TAC Bombers				Бомбардувальна авіація TAC, зазначена як окремий тип юніта; TAC є скороченням.	Зброя і техніка	new	
spider_cluster_mine	Spider Cluster Mine	Spider Cluster Mines				Кластерні міни типу Spider, зазначені як окремий тип юніта.	Зброя і техніка	new	
explosive_barrel	Explosive Barrel	Explosive Barrels				Вибухонебезпечний об’єкт оточення, зазначений у розділі типів юнітів.	Зброя і техніка	new	
searchlight	Searchlight					Освітлювальний об’єкт, зазначений у розділі типів юнітів.	Зброя і техніка	new	
tunnel_exit	Tunnel Exit					Вихід з підземного тунелю Арахнідів, зазначений у розділі типів юнітів.	Арахніди	new	
flag	Flag					Ігровий об’єкт-позначка, зазначений у розділі типів юнітів.	Механіки	new	
drone	Drone	Drone Bugs|Drones				Базовий бойовий юніт Арахнідів, зазначений у розділі типів юнітів.	Арахніди	new	
invisible_carrier	Invisible Carrier					Невидимий службовий юніт-носій, зазначений у розділі типів юнітів.	Загальне	new	
noise_maker	Noise Maker					Пристрій для створення шуму або відволікання ворога, зазначений у розділі типів юнітів.	Зброя і техніка	new	
gate_destroyed	Gate (Destroyed)					Зруйнований варіант ігрового об’єкта Gate у розділі типів юнітів.	Загальне	new	
laser_squad	Laser Squad					Піхотний підрозділ Федерації з лазерним озброєнням, зазначений у розділі типів юнітів.	Юніти Федерації	new	
infested_trooper	Infested Trooper					Тип зараженого піхотинця, зазначений у розділі типів юнітів.	Арахніди	new	
tactical_officer	Tactical Officer	Tactical Officers				Офіцерський юніт підтримки Mobile Infantry, зазначений у розділі типів юнітів.	Юніти Федерації	new	
bug_lair	Bug Lair	Bug Lairs				Лігво Арахнідів, представлене як окремий тип ігрового об’єкта або споруди.	Арахніди	new	
collapsed_tunnel	Collapsed Tunnel					Завалений тунель, представлений як окремий тип об’єкта на карті.	Локації	new	
gate_closed	Gate (Closed)					Закритий варіант воріт, представлений як окремий тип ігрового об’єкта.	Загальне	new	
gate_open	Gate (Open)					Відкритий варіант воріт, представлений як окремий тип ігрового об’єкта.	Загальне	new	
eng	ENG					Скорочене позначення інженерного варіанта Powered Suit Trooper.	Загальне	new	
door_closed	Door (Closed)					Закритий варіант дверей, представлений як окремий тип ігрового об’єкта.	Загальне	new	
door_open	Door (Open)					Відкритий варіант дверей, представлений як окремий тип ігрового об’єкта.	Загальне	new	
hmg_tower	HMG Tower					Оборонна башта з важким кулеметом у розділі типів юнітів.	Зброя і техніка	new	
fire_small	Fire Small					Малий варіант ігрового об’єкта вогню в розділі типів юнітів.	Механіки	new	
fire_medium	Fire Medium					Середній варіант ігрового об’єкта вогню в розділі типів юнітів.	Механіки	new	
fire_large	Fire Large					Великий варіант ігрового об’єкта вогню в розділі типів юнітів.	Механіки	new	
marine	Marine	Marines				Тип піхотного підрозділу Федерації в розділі типів юнітів.	Юніти Федерації	new	
battery_bomb	Battery Bomb					Вибуховий об’єкт, зазначений у розділі типів юнітів.	Зброя і техніка	new	
traffic_gate	Traffic Gate					Відкритий варіант об’єкта транспортних воріт у розділі типів юнітів.	Загальне	new	
e_pulse_trooper	E-Pulse Trooper	E-Pulse Troopers				Тип бійців Федерації, озброєних E-Pulse 44 Rifle, у розділі типів юнітів.	Юніти Федерації	new	
e_pulse_44_rifle	E-Pulse 44 Rifle	E-Pulse 44 Rifles|E-Pulse rifles				Гвинтівка бійців E-Pulse Troopers, ефективна на дуже малій відстані проти легко- та середньоброньованих цілей.	Зброя і техніка	new	
morita	Morita	Morita Mk III|Morita IIs				Сімейство перевірених зразків стрілецької зброї Федерації, з яким порівнюють E-Pulse 44 Rifle.	Зброя і техніка	new	
radio_bunker	Radio Bunker					Бункерний об’єкт зв’язку, зазначений у розділі типів юнітів.	Зброя і техніка	new	
wavebreaker_battery	Wavebreaker Battery					Артилерійська батарея системи Wavebreaker, зазначена в розділі типів юнітів.	Зброя і техніка	new	
supply_depot	Supply Depot	Supply Depots				Об’єкт або споруда для зберігання припасів у розділі типів юнітів.	Загальне	new	
ammunition_cache	Ammunition Cache					Ігровий сховок боєприпасів, зазначений у розділі типів юнітів.	Загальне	new	
supplies_cache	Supplies Cache					Ігровий сховок припасів, зазначений у розділі типів юнітів.	Загальне	new	
radio_post	Radio Post					Ігровий радіопост або об’єкт зв’язку, зазначений у розділі типів юнітів.	Загальне	new	
dr_8_skyhook	DR-8 Skyhook					Юніт Федерації моделі DR-8, зазначений у розділі типів юнітів.	Юніти Федерації	new	
prison_guard	Prison Guard	Prison Guards				Prison Guard — тип охоронного юніта в розділі UNIT TYPES.	Юніти Федерації	new	
power_turbine	Power Turbine	power turbines				Power Turbine — енергетична споруда, визначена як тип юніта в розділі UNIT TYPES.	Технології	new	
shock_node	Shock Node					Shock Node — оборонний вузол, що створює електричні ударні хвилі, у розділі UNIT TYPES.	Технології	new	
terminal	Terminal					Terminal — інтерактивний технологічний об’єкт, визначений як тип юніта в розділі UNIT TYPES.	Технології	new	
mining_drill	Mining Drill	Mining Drills				Стаціонарна бурова установка, зазначена як тип юніта в розділі UNIT TYPES.	Зброя і техніка	new	
fleet_liaison	Fleet Liaison	Fleet Liaison's				Офіцер зв’язку, який забезпечує виклик підкріплень та іншої підтримки Fleet у розділі UNIT TYPES.	Юніти Федерації	new	
fleet	Fleet	Fleet’s|Fleet's				Військово-космічні сили Федерації, підтримку яких викликає Fleet Liaison у розділі UNIT TYPES.	Фракції	new	
power_core_destroyed	Power Core (Destroyed)					Знищений варіант енергетичного ядра, зазначений як тип об’єкта в розділі UNIT TYPES.	Зброя і техніка	new	
prisoner	Prisoner	Prisoners				Полонені, представлені як окремий тип юніта в розділі UNIT TYPES.	Загальне	new	
rioter	Rioter	Rioters				Учасники заворушень, представлені як окремий тип юніта в розділі UNIT TYPES.	Загальне	new	
camera	Camera	Cameras				Камера спостереження, зазначена як окремий тип об’єкта в розділі UNIT TYPES.	Зброя і техніка	new	
baka_bug	Baka Bug					Тип бойового арахніда в розділі типів юнітів.	Арахніди	new	
adr_4_thor	ADR-4 Thor					Модель бойового юніта Федерації в розділі типів юнітів.	Юніти Федерації	new	
rdr_4_odin	RDR-4 Odin					Модель бойового юніта Федерації в розділі типів юнітів.	Юніти Федерації	new	
fleet_relay	Fleet Relay	Fleet Relays				Будівля платформи, пов’язана з розгортанням сил Fleet.	Технології	new	
ammo_dump	Ammo Dump					Будівля платформи для забезпечення боєприпасами та розгортання доступних підрозділів.	Технології	new	
rocket_depot	Rocket Depot					Будівля платформи, пов’язана з ракетним озброєнням і розгортанням доступних підрозділів.	Технології	new	
sector_headquarters	Sector Headquarters					Штабна будівля платформи, що забезпечує розгортання доступних підрозділів у секторі.	Технології	new	
support_center	Support Center					Будівля підтримки на платформі, що забезпечує розгортання доступних підрозділів.	Технології	new	
miner	Miner	Miners				Тип робітничого юніта, пов’язаний із видобуванням ресурсів у розділі типів юнітів.	Юніти Федерації	new	
power_core	Power Core					Енергетичний об’єкт або споруда, зазначена в розділі типів юнітів.	Загальне	new	
ammunition_dropship	Ammunition Dropship					Транспортний літальний апарат для доставлення боєприпасів, зазначений у розділі типів юнітів.	Зброя і техніка	new	
alarm	Alarm					Сигнальний об’єкт або пристрій, зазначений у розділі типів юнітів.	Загальне	new	
thomas_rees	Thomas Rees					Ім’я персонажа в розділі Characters.	Персонажі	new	
victor_yarrow	Victor Yarrow	Victor's|Victor				Ім’я персонажа в розділі Characters.	Персонажі	new	
dps_tester	DPS Tester					Назва службового тестового юніта в розділі Debug units.	Загальне	new	
air_tester	Air Tester					Назва службового тестового юніта для перевірки повітряних механік у розділі Debug units.	Загальне	new	
legacy_infantry	Legacy Infantry					Назва застарілого тестового піхотного юніта в розділі Debug units.	Загальне	new	
carrier_tester	Carrier Tester					Назва службового тестового юніта-носія в розділі Debug units.	Загальне	new	
power_plant	Power Plant					Будівля платформи, що забезпечує доступ до розгортання підрозділів або споруд.	Технології	new	
machine_bay	Machine Bay					Будівля платформи, пов’язана з розгортанням техніки та інших доступних об’єктів.	Технології	new	
command_center	Command Center					Командна будівля платформи, що відкриває розгортання доступних об’єктів.	Технології	new	
field_lz	Field LZ					Польова зона висадки, позначена як окремий ігровий об’єкт серед будівель платформи.	Локації	new	
hidden_lz	Hidden LZ					Прихована зона висадки, позначена як окремий ігровий об’єкт серед будівель платформи.	Локації	new	
infestation	Infestation	infestations|Infested				Тип загрози, пов’язаний із поширенням арахнідської інвазії.	Механіки	new	
hive_growth	Hive Growth					Тип загрози, пов’язаний зі зростанням арахнідського вулика.	Механіки	new	
open_gate	Open gate	Open the gate				Команда споруди, що відкриває ворота для проходу юнітів.	Здібності	new	
close_gate	Close gate	Close the gate				Команда споруди, що закриває ворота та блокує прохід юнітів.	Здібності	new	
rifle_grenade	Rifle Grenade	Rifle grenades				Тактична здібність, що запускає гвинтівкову гранату у вибрану точку.	Здібності	new	
aggressive_tactics	Aggressive Tactics					Тактична здібність, що тимчасово посилює дружній юніт.	Здібності	new	
terrorist	Terrorist	Terrorists				Terrorist — ворожий людський тип бійця в переліку типів загроз.	Загальне	new	
aim_at_target	Aim at Target					Здібність наведення юніта на вибрану ділянку в розділі THREAT TYPES.	Здібності	new	
shotgun_suppression	Shotgun Suppression					Здібність придушення ворога вогнем із підствольної рушниці в розділі THREAT TYPES.	Здібності	new	
fragmentation_barrage	Fragmentation Barrage					Здібність непрямого вогню серією осколкових гранат у розділі THREAT TYPES.	Здібності	new	
self_destruct	Self-Destruct	Self-destructs				Здібність юніта вибухати після загибелі в розділі THREAT TYPES.	Здібності	new	
mortar_barrage	Mortar Barrage					Здібність обстрілу вибраної ділянки з двох наплічних мінометів у розділі THREAT TYPES.	Здібності	new	
defensive_tactics	Defensive Tactics					Назва тимчасової підсилювальної здібності дружнього юніта в розділі THREAT TYPES.	Здібності	new	
crippling_shot	Crippling Shot					Назва здібності пострілу у вразливе місце ворога в розділі THREAT TYPES.	Здібності	new	
mx_90_grenade	MX-90 Grenade	MX-90 Grenades				Модель ручної гранати, яку юніт може кинути по ворогах у розділі THREAT TYPES.	Зброя і техніка	new	
action_mode	Action mode					Назва режиму, що підвищує швидкість руху й темп вогню юніта ціною дальності в розділі THREAT TYPES.	Здібності	new	
mx_113_incendiary_drop_charge	MX-113 Incendiary Drop Charge					Високотехнологічний запалювальний підривний заряд, який застосовує Marauder.	Зброя і техніка	new	
marauder	Marauder	Marauders				Бойовий юніт Федерації, навколо якого спрацьовує запалювальний вибух заряду.	Юніти Федерації	new	
orbital_strike	Orbital Strike					Здібність виклику тривалого орбітального обстрілу вказаної ділянки.	Здібності	new	
place_drop_zone	Place Drop Zone	Place a drop zone				Здібність розміщення зони висадки для виклику підкріплень.	Здібності	new	
drop_zone	Drop Zone					Зона висадки, через яку гравець може викликати підкріплення.	Механіки	new	
tac_strike	TAC Strike					Здібність виклику авіаційного удару; TAC є скороченням, повна форма в наданих рядках не зазначена.	Здібності	new	
marines_drop	Marines Drop					Здібність доставки загону Marine у вибрану точку.	Здібності	new	
blazing_spear	Blazing Spear					Здібність у розділі THREAT TYPES, що створює струмінь перегрітого полум’я під високим тиском.	Здібності	new	
m7_incendiary_grenade	M7 Incendiary Grenade	M7 Incendiary Grenades				Запалювальна граната в розділі THREAT TYPES, яка підпалює цільову область і блокує рух.	Зброя і техніка	new	
battery_flashbang	Battery Flashbang					Здібність у розділі THREAT TYPES, що перетворює батарейний блок на світлошумовий заряд для оглушення цілей.	Здібності	new	
e_pulse_battery_pack	E-pulse battery pack					Батарейний блок технології E-pulse, який у розділі THREAT TYPES замикають для створення оглушувального спалаху.	Технології	new	
rifle_overcharge	Rifle Overcharge					Здібність у розділі THREAT TYPES, що тимчасово посилює характеристики гвинтівки з подальшим перегріванням.	Здібності	new	
light_the_way	Light the Way					Назва здібності, пов’язаної з протидією типам загроз і зниженню видимості.	Здібності	new	
sensor_flare	Sensor Flare					Назва здібності, що запускає спеціальний сенсор для виявлення ворогів.	Здібності	new	
fog_of_war	Fog of War					Механіка приховування ділянок поля бою та розташованих у них ворожих юнітів.	Механіки	new	
dropship_fire_support	Dropship Fire Support					Назва здібності виклику повітряної вогневої підтримки десантного корабля.	Здібності	new	
tactical_drill	Tactical Drill					Назва здібності, яка скидає час відновлення інших здібностей вибраного юніта.	Здібності	new	
designate_target	Designate Target					Назва здібності, що посилює шкоду союзних юнітів по ворогах у вибраній зоні.	Здібності	new	
inspiring_broadcast	Inspiring Broadcast					Назва здібності пропагандистської трансляції, що посилює дружні підрозділи поблизу.	Здібності	new	
suppression	Suppression	suppressed|suppressing|suppress|suppressive				Бойовий стан, до якого підрозділи можуть набувати опір під дією цієї здібності.	Механіки	new	
set_timer_10s	Set timer: 10s					Назва варіанта здібності для встановлення десятисекундного таймера вибухового заряду.	Здібності	new	
set_timer_30s	Set timer: 30s					Назва варіанта здібності для встановлення тридцятисекундного таймера вибухового заряду.	Здібності	new	
canister_warhead	Canister Warhead					Назва типу боєголовки, що уражає велику площу та має низьку ефективність проти броньованих цілей.	Здібності	new	
firestorm_warhead	Firestorm Warhead					Назва запалювальної боєголовки, яка після влучання створює непрохідну стіну полум’я.	Здібності	new	
